Date;CLOSE
1996M03;32,92
1996M04;33,67
1996M05;33,28
1996M06;32,40
1996M07;32,10
1996M08;32,03
1996M09;33,38
1996M10;34,25
1996M11;34,14
1996M12;35,04
1997M01;34,57
1997M02;33,80
1997M03;33,40
1997M04;32,99
1997M05;32,53
1997M06;32,28
1997M07;31,27
1997M08;31,03
1997M09;29,88
1997M10;29,00
1997M11;27,69
1997M12;27,75
1998M01;27,50
1998M02;26,76
1998M03;26,74
1998M04;27,35
1998M05;27,63
1998M06;27,33
1998M07;26,55
1998M08;26,30
1998M09;26,43
1998M10;26,08
1998M11;26,70
1998M12;26,70
1999M01;26,50
1999M02;26,38
1999M03;25,05
1999M04;25,05
1999M05;25,05
1999M06;25,25
1999M07;23,78
1999M08;23,14
1999M09;22,50
1999M10;22,50
1999M11;23,50
1999M12;22,58
2000M01;22,78
2000M02;23,62
2000M03;24,40
2000M04;24,94
2000M05;26,05
2000M06;27,00
2000M07;27,00
2000M08;27,00
2000M09;27,00
2000M10;28,18
2000M11;26,17
2000M12;34,70
2001M01;34,95
2001M02;34,35
2001M03;35,50
2001M04;35,53
2001M05;34,75
2001M06;34,75
2001M07;34,35
2001M08;34,15
2001M09;33,06
2001M10;33,03
2001M11;31,50
2001M12;30,45
2002M01;29,70
2002M02;28,95
2002M03;28,35
2002M04;26,83
2002M05;25,75
2002M06;24,38
2002M07;22,73
2002M08;21,25
2002M09;23,08
2002M10;27,35
2002M11;26,98
2002M12;26,94
2003M01;27,46
2003M02;27,00
2003M03;25,75
2003M04;23,83
2003M05;23,65
2003M06;26,75
2003M07;29,50
2003M08;30,19
2003M09;34,14
2003M10;36,69
2003M11;39,19
2003M12;38,69
2004M01;41,25
2004M02;42,25
2004M03;42,50
2004M04;47,25
2004M05;52,56
2004M06;62,55
2004M07;68,50
2004M08;63,63
2004M09;61,00
2004M10;59,69
2004M11;60,75
2004M12;54,29
2005M01;51,42
2005M02;46,63
2005M03;45,30
2005M04;46,25
2005M05;45,88
2005M06;49,13
2005M07;51,31
2005M08;49,50
2005M09;46,63
2005M10;43,25
2005M11;38,08
2005M12;41,00
2006M01;44,66
2006M02;49,40
2006M03;54,50
2006M04;54,88
2006M05;50,40
2006M06;52,38
2006M07;51,68
2006M08;53,59
2006M09;48,75
2006M10;49,21
2006M11;48,20
2006M12;50,69
2007M01;50,14
2007M02;51,64
2007M03;53,48
2007M04;51,36
2007M05;50,25
2007M06;56,78
2007M07;58,06
2007M08;60,18
2007M09;62,81
2007M10;73,12
2007M11;89,75
2007M12;94,25
2008M01;100,62
2008M02;115,00
2008M03;111,00
2008M04;108,75
2008M05;120,70
2008M06;142,38
2008M07;167,75
2008M08;156,90
2008M09;147,75
2008M10;109,70
2008M11;89,38
2008M12;77,25
2009M01;76,40
2009M02;69,06
2009M03;58,56
2009M04;62,88
2009M05;58,03
2009M06;60,20
2009M07;61,10
2009M08;64,25
2009M09;61,13
2009M10;64,35
2009M11;66,44
2009M12;73,80
2010M01;86,94
2010M02;83,36
2010M03;82,96
2010M04;88,70
2010M05;90,94
2010M06;92,81
2010M07;90,61
2010M08;87,90
2010M09;85,82
2010M10;90,99
2010M11;103,20
2010M12;115,24
2011M01;122,62
2011M02;117,74
2011M03;121,00
2011M04;124,03
2011M05;120,46
2011M06;119,01
2011M07;116,27
2011M08;118,27
2011M09;115,62
2011M10;110,88
2011M11;105,47
2011M12;104,19
2012M01;106,26
2012M02;105,30
2012M03;103,43
2012M04;101,33
2012M05;93,77
2012M06;85,31
2012M07;87,33
2012M08;89,11
2012M09;85,82
2012M10;82,80
2012M11;85,74
2012M12;88,84
2013M01;86,13
2013M02;85,13
2013M03;82,77
2013M04;82,02
2013M05;81,79
2013M06;77,29
2013M07;72,64
2013M08;72,91
2013M09;73,10
2013M10;80,65
2013M11;83,82
2013M12;84,62
2014M01;82,90
2014M02;77,60
2014M03;74,60
2014M04;75,06
2014M05;75,78
2014M06;74,09
2014M07;71,44
2014M08;71,19
2014M09;67,86
2014M10;65,74
2014M11;65,66
2014M12;66,14
2015M01;59,29
2015M02;63,48
2015M03;59,92
2015M04;58,95
2015M05;61,63
2015M06;60,71
2015M07;57,90
2015M08;55,02
2015M09;51,38
2015M10;50,11
2015M11;53,34
2015M12;48,77
2016M01;49,09
2016M02;50,33
2016M03;52,57
2016M04;52,35
2016M05;54,24
2016M06;58,59
2016M07;62,39
2016M08;66,34
2016M09;68,33
2016M10;83,79
2016M11;89,15
2016M12;80,19
2017M01;86,49
2017M02;83,60
2017M03;79,11
2017M04;78,89
2017M05;74,41
2017M06;79,20
2017M07;81,69
2017M08;87,84
2017M09;92,26
2017M10;91,43
2017M11;91,39
2017M12;95,48
2018M01;97,48
2018M02;92,68
2018M03;89,50
2018M04;92,32
2018M05;101,89
2018M06;103,88
2018M07;106,02
2018M08;98,48
2018M09;102,14
2018M10;100,34
2018M11;91,58
2018M12;95,41
2019M01;91,29
2019M02;84,16
2019M03;78,81
2019M04;72,49
2019M05;68,93
2019M06;62,94
2019M07;65,79
2019M08;60,43
2019M09;61,37
2019M10;67,44
2019M11;73,62
2019M12;76,03
2020M01;82,09
2020M02;79,99
2020M03;67,89
2020M04;56,58
2020M05;57,42
2020M06;56,81
2020M07;56,60
2020M08;57,38
2020M09;57,47
2020M10;61,04
2020M11;69,43
2020M12;85,18
2021M01;86,85
2021M02;82,76
2021M03;90,66
2021M04;89,13
2021M05;99,31
2021M06;112,92
2021M07;122,33
2021M08;137,92
2021M09;146,05
2021M10;199,65
2021M11;128,00
2021M12;142,50
2022M01;168,50
2022M02;196,40
2022M03;294,42
2022M04;302,00
2022M05;280,00
2022M06;291,36
2022M07;269,09
2022M08;274,62
2022M09;234,98
2022M10;191,22
2022M11;169,10
2022M12;215,00
2023M01;172,00
2023M02;144,67
2023M03;136,84
